accommodation_id,latitude,longitude,driving_distance,walking_distance,transit_distance
12763,51.50706,-0.1247,3 mins,10 mins,10 mins
6163536,51.50719,-0.12727,5 mins,13 mins,9 mins
6149618,51.51183,-0.11547,3 mins,3 mins,3 mins
98763,51.5071,-0.1049,9 mins,21 mins,15 mins
7867372,51.51354,-0.12616,9 mins,13 mins,12 mins
12715,51.5103,-0.12086,6 mins,6 mins,6 mins
9147134,51.50722,-0.1275,4 mins,14 mins,10 mins
9171064,51.50722,-0.1275,4 mins,14 mins,10 mins
48064,51.50612,-0.12428,4 mins,10 mins,10 mins
12711,51.51768,-0.11796,8 mins,16 mins,13 mins
9658160,51.51324,-0.11268,3 mins,7 mins,7 mins
7946556,51.51001,-0.12571,7 mins,11 mins,8 mins
11653662,51.50722,-0.1275,4 mins,14 mins,10 mins
11648478,51.5133,-0.11278,3 mins,7 mins,7 mins
9656676,51.50722,-0.1275,4 mins,14 mins,10 mins
11652202,51.51452,-0.12803,9 mins,16 mins,13 mins
11399646,51.50722,-0.1275,4 mins,14 mins,10 mins
8307846,51.51455,-0.12582,13 mins,13 mins,12 mins
7041030,51.50722,-0.1275,4 mins,14 mins,10 mins
13357000,51.50722,-0.1275,4 mins,14 mins,10 mins
11703638,51.50722,-0.1275,4 mins,14 mins,10 mins
10122164,51.50722,-0.1275,4 mins,14 mins,10 mins
13434576,51.50722,-0.1275,4 mins,14 mins,10 mins
10522414,51.50722,-0.1275,4 mins,14 mins,10 mins
11078806,51.50722,-0.1275,4 mins,14 mins,10 mins
9701526,51.50722,-0.1275,4 mins,14 mins,10 mins
10685360,51.50722,-0.1275,4 mins,14 mins,10 mins
11082446,51.50722,-0.1275,4 mins,14 mins,10 mins
11135866,51.50722,-0.1275,4 mins,14 mins,10 mins
13630008,51.50968,-0.12432,7 mins,9 mins,8 mins
14912470,51.51291,-0.12083,6 mins,8 mins,8 mins
13834688,51.50835,-0.12375,8 mins,8 mins,8 mins
14442798,51.51143,-0.12582,8 mins,11 mins,9 mins
13910566,51.51375,-0.12065,8 mins,10 mins,10 mins
15389976,51.51049,-0.12553,7 mins,11 mins,9 mins
11527952,51.50722,-0.1275,4 mins,14 mins,10 mins
15992402,51.50722,-0.1275,4 mins,14 mins,10 mins
15995908,51.50722,-0.1275,4 mins,14 mins,10 mins
3231032,51.51881,-0.11689,9 mins,19 mins,14 mins
15990718,51.50732,-0.12999,6 mins,17 mins,8 mins
18342960,51.5172,-0.11001,8 mins,19 mins,16 mins
16019606,51.50722,-0.1275,4 mins,14 mins,10 mins
20348614,51.51714,-0.12524,9 mins,17 mins,13 mins
17555840,51.50722,-0.1275,4 mins,14 mins,10 mins
12695,51.51072,-0.12107,6 mins,7 mins,7 mins
15979516,51.51463,-0.11802,5 mins,9 mins,9 mins
20978218,51.50722,-0.1275,4 mins,14 mins,10 mins
16015102,51.50722,-0.1275,4 mins,14 mins,10 mins
15981160,51.50722,-0.1275,4 mins,14 mins,10 mins
20993160,51.51598,-0.12005,6 mins,13 mins,10 mins
16010858,51.50722,-0.1275,4 mins,14 mins,10 mins
6475130,51.5111,-0.12968,10 mins,16 mins,10 mins
15988866,51.50722,-0.1275,4 mins,14 mins,10 mins
22048256,51.50722,-0.1275,4 mins,14 mins,10 mins
6481060,51.50722,-0.1275,4 mins,14 mins,10 mins
13318954,51.50722,-0.1275,4 mins,14 mins,10 mins
10123318,51.50722,-0.1275,4 mins,14 mins,10 mins
4559384,51.51907,-0.11644,9 mins,18 mins,15 mins
21730434,51.50722,-0.1275,4 mins,14 mins,10 mins
22819808,51.50722,-0.1275,4 mins,14 mins,10 mins
11542094,51.50722,-0.1275,4 mins,14 mins,10 mins
11347454,51.50722,-0.1275,4 mins,14 mins,10 mins
11609850,51.50722,-0.1275,4 mins,14 mins,10 mins
13552854,51.50722,-0.1275,4 mins,14 mins,10 mins
15519430,51.50722,-0.1275,4 mins,14 mins,10 mins
21927038,51.50722,-0.1275,4 mins,14 mins,10 mins
16126484,51.50722,-0.1275,4 mins,14 mins,10 mins
23319322,51.50722,-0.1275,4 mins,14 mins,10 mins
16030332,51.51326,-0.11027,8 mins,9 mins,9 mins
23658980,51.50722,-0.1275,4 mins,14 mins,10 mins
15984346,51.50722,-0.1275,4 mins,14 mins,10 mins
23182894,51.50722,-0.1275,4 mins,14 mins,10 mins
20873072,51.50722,-0.1275,4 mins,14 mins,10 mins
22071264,51.50722,-0.1275,4 mins,14 mins,10 mins
48162,51.51175,-0.1191,5 mins,5 mins,5 mins
17671660,51.50722,-0.1275,4 mins,14 mins,10 mins
23965648,51.50722,-0.1275,4 mins,14 mins,10 mins
24054912,51.50722,-0.1275,4 mins,14 mins,10 mins
20875290,51.50722,-0.1275,4 mins,14 mins,10 mins
24043676,51.50722,-0.1275,4 mins,14 mins,10 mins
24086838,51.50722,-0.1275,4 mins,14 mins,10 mins
24047768,51.50722,-0.1275,4 mins,14 mins,10 mins
23946084,51.50722,-0.1275,4 mins,14 mins,10 mins
23604032,51.50986,-0.12562,6 mins,11 mins,8 mins
23935264,51.50722,-0.1275,4 mins,14 mins,10 mins
24052426,51.50722,-0.1275,4 mins,14 mins,10 mins
23807544,51.50722,-0.1275,4 mins,14 mins,10 mins
21650424,51.50722,-0.1275,4 mins,14 mins,10 mins
24135602,51.50722,-0.1275,4 mins,14 mins,10 mins
24068166,51.50722,-0.1275,4 mins,14 mins,10 mins
18008080,51.50722,-0.1275,4 mins,14 mins,10 mins
21711914,51.50722,-0.1275,4 mins,14 mins,10 mins
24053422,51.50722,-0.1275,4 mins,14 mins,10 mins
21901666,51.50722,-0.1275,4 mins,14 mins,10 mins
24116928,51.50722,-0.1275,4 mins,14 mins,10 mins
21717150,51.50722,-0.1275,4 mins,14 mins,10 mins
23913496,51.50722,-0.1275,4 mins,14 mins,10 mins
24289924,51.50722,-0.1275,4 mins,14 mins,10 mins
24288624,51.50722,-0.1275,4 mins,14 mins,10 mins
24288442,51.50722,-0.1275,4 mins,14 mins,10 mins
17256870,51.50722,-0.1275,4 mins,14 mins,10 mins
23356962,51.50722,-0.1275,4 mins,14 mins,10 mins
17261272,51.50722,-0.1275,4 mins,14 mins,10 mins
17248120,51.50722,-0.1275,4 mins,14 mins,10 mins
17245068,51.50722,-0.1275,4 mins,14 mins,10 mins
17253018,51.50722,-0.1275,4 mins,14 mins,10 mins
17258670,51.50722,-0.1275,4 mins,14 mins,10 mins
23352972,51.50722,-0.1275,4 mins,14 mins,10 mins
17729194,51.50722,-0.1275,4 mins,14 mins,10 mins
24411750,51.50722,-0.1275,4 mins,14 mins,10 mins
19658848,51.50722,-0.1275,4 mins,14 mins,10 mins
17255918,51.50722,-0.1275,4 mins,14 mins,10 mins
17846730,51.51215,-0.13031,10 mins,17 mins,17 mins
24573088,51.50722,-0.1275,4 mins,14 mins,10 mins
17252716,51.50722,-0.1275,4 mins,14 mins,10 mins
17850320,51.51215,-0.13031,10 mins,17 mins,17 mins
21720056,51.50722,-0.1275,4 mins,14 mins,10 mins
9127950,51.50722,-0.1275,4 mins,14 mins,10 mins
17260602,51.50722,-0.1275,4 mins,14 mins,10 mins
11467368,51.50722,-0.1275,4 mins,14 mins,10 mins
24769860,51.50722,-0.1275,4 mins,14 mins,10 mins
24052514,51.50722,-0.1275,4 mins,14 mins,10 mins
24769790,51.50722,-0.1275,4 mins,14 mins,10 mins
24772966,51.50722,-0.1275,4 mins,14 mins,10 mins
