,image_id,ground_truth,accommodation_id,longitude,latitude,driving_duration,walking_duration,transit_duration,image,tag_name,probability,accommodation_name,dt,distance_to_bigben,description,score,response_time,response_time_vision,detections_vision_openai,ground_truth_single,ground_truth_multiple
0,DX64WCVN23LSWFWPBOWT5YGBMO45N3SF3HBQLCFHXQUJCV7TNAZA,[None],1504047,-0.12759,51.52702,13,33,19,https://imgcy.trivago.com/partner-images/1d/fd/cb0aadd6d72b16cf0bad3ee0c163b9d6ee45d9c30588a7bc289157f36832,building,0.9998999834,Studios 2 Let Serviced Apartments,2024-03-07,1.998302036,None,0.750397861,0.1240181923,3.288819075,None,None,None
1,RB77EISJ5MQDUEGFZSGFH3EGQQNEDPHANSIYFNAFJJKIN6MSC3GQ,[None],10405908,-0.1275,51.50722,4,14,14,https://imgcy.trivago.com/partner-images/88/7f/f22249eb203a10c5cc8c53ec86841a41bce06c9182b4054a5486f99216cd,building,1.0,Lovely Family Apartments For Upto 6 Near Oxford Street - Ideal For Families,2024-03-07,0.8202509419,None,0.4133740067,0.4689614773,4.299602509,None,None,None
2,SWPQ2FXDSA2PH4KDMR56KNBPFJZ5C77DBKGBBAA4BPG5CG5XSTVA,[None],18426,-0.18294,51.49556,21,77,17,https://imgcy.trivago.com/partner-images/95/9f/0d16e39034f3f143647be5342f2a73d17fe30a8c10801c0bcdd11bb794ea,building,1.0,Meliá London Kensington Meliá Collection,2024-03-07,4.866409836,None,0.6327098608,0.4516837597,5.174545288,None,None,None
3,3DL2RXNO4NVWZFBC4L2YATHITDKB2DDWBF5LQ6JLO2C6GMAC44QQ,[None],22032936,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/d8/d7/a8ddaee36b6c9422e2f5804ce898d41d0c76097ab8792b7685e33002e721,building,1.0,Victorian Conversion Garden Flat,2024-03-07,0.8202509419,None,0.5794327855,0.2130396366,2.592985392,The Shard,None,None
4,4MLPB64JFHPSIM2YTAFY4U5HCCVUIUABRH7GUVMVTJZKKOPBF3KA,[None],20648498,-0.1275,51.50722,4,14,9,https://imgcy.trivago.com/partner-images/e3/16/f0fb8929df243358980b8e53a710ab44500189fe6a55959a72a539e12ed4,building,1.0,Stunning Central Richmond With Garden,2024-03-07,0.8202509419,None,0.6509844661,0.3811798096,4.568479061,None,None,None
5,O36AWUJUTBSS2SP4OR5KWWMIVCCWT3SMEICULWSAJTCIQLUKE2XA,[None],32082660,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/76/fc/0b513498652d49fc747aab5988a88569ee4c220545da404cc4882e8a26ae,building,1.0,Apartment By Spitalfields Market & Liverpool Street Station,2024-03-07,0.8202509419,None,0.5406187177,0.2495479584,3.868224382,None,None,None
6,R4E3HHDDGEICNKSKKYJHMBR2WR6FHJ6PIBY2YGM4PEDLTMUTOCIA,[None],15909640,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/8f/09/b39c63311026aa4a561276063ab47c53a7cf4071ac199c7906b9b2937090,building,0.9994999766,Royal Kew Gardens Secret Hideaway,2024-03-07,0.8202509419,None,0.6676902175,0.339266777,6.246777296,None,None,None
7,H2SGWIIJYG3SGR4CFMCES5YOGRXVMTA3XW7O4PFTVKR2NUXFY54A,[None],22905052,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/3e/a4/6b2109c1b72347822b0449770e346f564c1bbdbeee3cb3aaa3a6d2e5c778,building,1.0,Modern River And Big Ben View Apartment 10 Mins From Oxford Circus,2024-03-07,0.8202509419,None,0.3282946348,0.4116623402,4.478145361,None,None,None
8,6GLP2OME6XUEZQZDEQ2HZCVRXLKKKGIN6BUXSX6FFANX4LOUF4FQ,[None],24052168,-0.1275,51.50722,4,14,10,https://imgcy.trivago.com/partner-images/f1/96/fd3984f5e84cc32324347c8ab1bad4a5190df069795fc5281b7e2dd42f0b,building,0.9998999834,Sonder At Kensington Gardens | Sleek Room,2024-03-07,0.8202509419,None,0.4969238043,0.3982129097,5.716896772,None,None,None
9,JEHB2ODQHEEPLMYQBHGVN7PNQ6J2R44VM7GYSXTJWKJIIKLAUCKA,[None],2744694,-0.09479,51.50385,8,31,23,https://imgcy.trivago.com/partner-images/49/0e/1d38703908f5b31009cd56fded8793a8f39567cd895e69b292842960a094,building,1.0,Destinations at The Rose & Crown,2024-03-07,1.684724162,None,0.476197511,0.4312498569,9.28384304,None,None,None
10,MZZJA6VRXOR4YHB5M2PR52FE5JE5EFOGATX4FXA2PIRUKKK6MRZA,[None],36260808,-0.1235,51.5103,7,9,9,https://imgcy.trivago.com/partner-images/66/72/907ab1bba3cc1c3d669f1ee8a4ea49d215c604efc2dc1a7a2345295e6472,building,0.9990000129,Exchange Court Iii By Onefinestay,2024-03-07,0.4655844361,None,0.4253672659,0.5746290684,6.327731133,None,None,None
11,TPHY6CZAI6SUAWXRGJ2EKBIDPL5MO7IG6TM64GYKPL3B72GMTXMA,[None],28600246,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/9b/cf/8f0b2047a5405af132744505037afac77d06f4d9ee1b0a7af61fe8cc9dd8,building,0.9998999834,Spacious 2 Double Bedroom Apartment Kensington,2024-03-07,0.8202509419,None,0.8636218905,0.2861077785,4.306042194,None,None,None
12,NWHMGZMYIRNGTGJKS3HG6GMP6TNGJU4C3UWQRZY2B2AOAZL4HGMQ,[None],34410554,-0.1275,51.50722,4,14,10,https://imgcy.trivago.com/partner-images/6d/8e/c36598445a69992a96ce6f198ff4da64d382dd2d08e71a0e80e0657c3999,building,0.9998999834,Luxury Waterfront Studio In Canary Wharf By Underthedoormat,2024-03-07,0.8202509419,None,0.4721412361,0.7269301414,6.488659143,None,None,None
13,V7WTFDLUNK46NEAKSKLEB4YVYUZQBZ2F45Y6TVVEMKIK7XVOR7UQ,[None],12693,-0.12731,51.52347,11,27,17,https://imgcy.trivago.com/partner-images/af/ed/328d746ab9e6900a929640f315c53300e745e771e9d6a46290afdeae8fe9,building,0.9998999834,The Royal National Hotel,2024-03-07,1.630231849,None,0.3887794912,0.1769838333,2.442265034,None,None,None
14,KE6QBXSENOIKUEA4J4GH7AGL5HQPRENSHQO6LSOIDPSIT72ZKIWA,[None],48082,-0.12479,51.50865,7,9,9,https://imgcy.trivago.com/partner-images/51/3d/00de446b90aa101c4f0c7f80cbe9e0f891b23c1de5c9c81be489ff59522c,building,1.0,"The Clermont London, Charing Cross",2024-03-07,0.586395216,None,0.4358504415,0.08703827858,2.191617489,None,None,None
15,EVACPVTUDDMLKRE5OCGI3AN5TNKWR65AJJKPTN4ZAYJ3A4XYHTQA,[None],11569320,-0.1275,51.50722,4,14,9,https://imgcy.trivago.com/partner-images/25/40/27d67418d8b5449d708c8d81bd9b5568fba04a54f9b7990613b072f83ce0,building,0.9997000098,Central London 2 Bedroom Apartment,2024-03-07,0.8202509419,None,0.5856435895,0.3381049633,5.476415396,None,None,None
16,4TODNAZ37JP2KAIMYI5PCN66M63KKEL37OTMPIHDD2634NJZFL2Q,[None],31055564,-0.1275,51.50722,4,14,12,https://imgcy.trivago.com/partner-images/e4/dc/36833bfa5fa5010cc23af137de67b6a5117bfba6c7a0e31ebdbe35392af5,building,1.0,"Trendy South Bank 1br W/ Pool, Gym & Concierge, Nr Tube, By Blueground",2024-03-07,0.8202509419,None,0.2308798283,0.2514212132,3.563688517,30 St Mary Axe (The Gherkin),None,None
17,UW6EJ7QDQWJ7EKV5HU3W5ZTPO4DFBV7QYINJVFIAXAEOI74NFZRQ,[None],29449878,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/a5/bc/44fe038593f22abd3d376ee66f770650d7f0c21a9a9500b808e47f8d2e63,building,0.9998999834,Home.ly - London West End Apartments,2024-03-07,0.8202509419,None,0.5318779945,0.2081093788,4.571254969,None,None,None
18,OPREQFNAJ46FREQLFEPDRZXGN6AC3NYKPZHDY33LTU2RJAB33V6A,[None],27984054,-0.1275,51.50722,4,14,10,https://imgcy.trivago.com/partner-images/73/e2/4815a04f3c58920b291e38e6e66f802db70a7e4e3c6f6b9d3514803bdd7c,building,1.0,Amazing Mayfair 2 Bedroom 2 Bath Air Conditioned,2024-03-07,0.8202509419,None,0.6016194224,0.3531491756,8.880267382,None,None,None
19,5GDZPIJDZGCS3LU5X3IWSAIDMUD3SEZV52ERDHZ7LH5EUXD5KECA,[None],22140308,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/e9/87/97a123c9852dae9dbed16901036507b91335ee89119f3f59fa4a5c7d5104,building,0.9987999797,Notting Hill Designer Apartment,2024-03-07,0.8202509419,None,0.4546523392,0.316947937,3.657506704,None,None,None
