,image_id,ground_truth,google_vision_sp_detection,google_vision_sp_score,google_vision_sp_response Time,vision_openai_sp_detection,vision_openai_response_time,ground_truth_single,ground_truth_multiple
0,AQ7Q666WK2OXZKIQBQVWPRC5D2M6XFBEHFKQ3MRFV2T2OMVUFFDA,"[Palace Of Westminster,Big Ben]",None,0.0,0.4064962863922119,Big Ben,6.470501184,Palace Of Westminster,"Palace Of Westminster,Big Ben"
1,TKUAUGKMUUXUYKFE53MLJ64UC2LBDZK22CKY2JXF22ELUSIBXEEA,[None],None,0.0,0.3036901950836181,None,3.266892672,None,None
2,5FF4Y4LHR5EYDJ7K25U5HUMKWANKYONMVSHQ7ILHOHAX534MVLWQ,[The Shard],None,0.0,0.3411266803741455,The Shard,13.26321101,The Shard,The Shard
3,OQNB4FXPW3SUEF2CRCJNENGESSWUNL5XPYR2BTGLYQ7MRGMEZBAQ,"[Tower Bridge,The Shard]",None,0.0,0.1333022117614746,Tower Bridge,2.948924065,Tower Bridge,"Tower Bridge,The Shard"
4,7LZ6QBXCSKYIUJUSJK2OO3VCHQ5CTWVZVQRGB3C6K6KUR4CJ72SA,[None],None,0.0,0.1208634376525878,Trafalgar Square,2.123317242,None,None
5,VJAEXBJJFXCXG5QOFBJHHXETMXGPBW46WMQFMCAHG774TRTFEM3Q,[Westminster Bridge],Lastminute.com London Eye,0.2557645440101623,0.3394041061401367,Westminster Bridge,7.248431683,Westminster Bridge,Westminster Bridge
6,PY72BYSFGHX7T3GWUEIT75LZAIV6EWV7YXMEBJZEUGEKYJDDOO2Q,[None],None,0.0,0.2001590728759765,None,5.920393229,None,None
7,SGPZCA7ZYKXUB64M7N2JI56V2UTPWKRCZQLXNT4XSKUE7BFFQOYQ,[The British Museum],None,0.0,0.0992321968078613,The British Museum,1.566105843,The British Museum,The British Museum
8,DBY224LJBG3JDE7JLZRXKKZEPD632LR23WRZ7TBBP75KZ2JIB6VQ,[Tower Bridge],Tower Bridge,0.3459286391735077,0.5381174087524414,Tower Bridge,9.563584328,Tower Bridge,Tower Bridge
9,5VPFYFUT55DC2JTMEAJTCTFCP6ZA3EH6CMMNKCMOTKVZ5KKIQCNQ,"[Tower Of London,Westminster Bridge,Big Ben]",None,0.0,0.327345609664917,Lastminute.com London Eye,6.050025463,Tower Of London,"Tower Of London,Westminster Bridge,Big Ben"
10,C4KYT6DQY6KHI65BK65CTDGVW2BPQTEC2BJCKCIY25GGXDKUTVRQ,[None],None,0.0,0.3777148723602295,None,4.304386377,None,None
