image_id,vision_openai_sp_detection,vision_openai_response_time
AQ7Q666WK2OXZKIQBQVWPRC5D2M6XFBEHFKQ3MRFV2T2OMVUFFDA,Big Ben,6.470501184463501
TKUAUGKMUUXUYKFE53MLJ64UC2LBDZK22CKY2JXF22ELUSIBXEEA,None,3.266892671585083
5FF4Y4LHR5EYDJ7K25U5HUMKWANKYONMVSHQ7ILHOHAX534MVLWQ,The Shard,13.263211011886597
OQNB4FXPW3SUEF2CRCJNENGESSWUNL5XPYR2BTGLYQ7MRGMEZBAQ,The landmark in the image is Tower Bridge.,2.9489240646362305
7LZ6QBXCSKYIUJUSJK2OO3VCHQ5CTWVZVQRGB3C6K6KUR4CJ72SA,"The landmark in the image is the National Gallery, which is located at Trafalgar Square.",2.123317241668701
VJAEXBJJFXCXG5QOFBJHHXETMXGPBW46WMQFMCAHG774TRTFEM3Q,Westminster Bridge,7.24843168258667
PY72BYSFGHX7T3GWUEIT75LZAIV6EWV7YXMEBJZEUGEKYJDDOO2Q,None,5.920393228530884
SGPZCA7ZYKXUB64M7N2JI56V2UTPWKRCZQLXNT4XSKUE7BFFQOYQ,The British Museum,1.566105842590332
DBY224LJBG3JDE7JLZRXKKZEPD632LR23WRZ7TBBP75KZ2JIB6VQ,Tower Bridge,9.563584327697754
5VPFYFUT55DC2JTMEAJTCTFCP6ZA3EH6CMMNKCMOTKVZ5KKIQCNQ,Lastminute.com London Eye,6.050025463104248
C4KYT6DQY6KHI65BK65CTDGVW2BPQTEC2BJCKCIY25GGXDKUTVRQ,None,4.304386377334595
JGPV6AT5TOGCRCBTGPWPGYAXKBEK53MELT4JJNVN5TJUPR554AAQ,Tower Bridge,4.849252700805664
QCMTLUBEXWYRZ7ONWR7SAP2JUKC4F4VH3M26EGFWU5YP332G5NPA,None,4.476295232772827
3VQSS6KOLMCH3SW4MGNOS2SCXFYOMAKYUUEMGBLMR47MMPJVU4KA,None,4.374555587768555
34MNRB732744QHIKC3ZSRK7OQ7TUONWPZ2JFFULO233A4C354YBA,Tower Bridge,10.045991659164429
KCYCWA4LB7XYCD7DDIW6NOIRHZZD4QIUUL4SFDRZSFE4DTCZYDGA,Palace Of Westminster,4.7680933475494385
757E4FQDJC5DWUO6Y3WBZDIYBFWGV6AK5LRNUYEM5PUILBEIWIZA,None,2.3228557109832764
BSLUHXKIS375LYW2GKV4ZGZ4PCW5KQYT5J36XAIARPV2ZHLTSRVA,Tower Bridge,3.264765977859497
72A7RGYIHGG67WDKRVE5QFGDGSPOGTMK7Y54LL3U35364QULCXEA,None,5.0210113525390625
5HB5YCZ7QESB76FXLI2LGNVHHIKRU35J3L7SRR6B5CA7L5D5FESA,None,3.284219980239868
PON5OU5HEXOXETT23VCVIEJ6GU7ITCDVDGVH4L5YK5J7IU65R55Q,None,7.1702187061309814
F5GZSKSRNU6YQHBKZVC2AWWEDTS6MB6WCCBMA2DC5U2NKY7WEVUA,The British Museum,5.598350286483765
ZLDE7H2BSNHNI4S54OTJMFO2IHQDBW7G25ZMDQ37HTJJELCN735Q,The Shard,4.523033380508423
PBOC52M7NVNJ65YWF32PCLI4N2ZUCMPYLKFFGLS542J4BXQJ3YGQ,Error in API call,0.6643247604370117
BZ5DDCQ7YTWQIMJCCOE42QI4A66KDHU6P37UHV5NPD6AQ2YOQPZA,Tower Bridge,9.56837010383606
6M5BSAQY6L5IAY7N3IC4RC22LUPH4Z4RAZZXSZKASYYRXSNDALQQ,None,6.655378580093384
WRP74CYA4RGPTLR6ZUPF2R37PQEY6S535MYQ2V3OHIUW6CXSJKEA,None,2.581177234649658
COI5AL4FATCNEQUWWNFMGOOXI63EB4QPRUB6SQE2O4AMBEVB6XLQ,Westminster Bridge,5.615898370742798
OPI4ERKXTEDJS5NNPVIQRBDY7SQVA34QXWIIFZJWISJKHS7TO6RA,The landmark in the image is Big Ben.,8.140209674835205
2AUW6KOSKR24Q624P4BAXVOE3DDAZVO75A6UHZUBE4MREGZYZKSA,The landmark in the image is Big Ben.,15.605581521987915
