image_id,vision_openai_sp_detection,vision_openai_response_time
AQ7Q666WK2OXZKIQBQVWPRC5D2M6XFBEHFKQ3MRFV2T2OMVUFFDA,Big Ben,6.470501184
TKUAUGKMUUXUYKFE53MLJ64UC2LBDZK22CKY2JXF22ELUSIBXEEA,None,3.266892672
5FF4Y4LHR5EYDJ7K25U5HUMKWANKYONMVSHQ7ILHOHAX534MVLWQ,The Shard,13.26321101
OQNB4FXPW3SUEF2CRCJNENGESSWUNL5XPYR2BTGLYQ7MRGMEZBAQ,Tower Bridge,2.948924065
7LZ6QBXCSKYIUJUSJK2OO3VCHQ5CTWVZVQRGB3C6K6KUR4CJ72SA,Trafalgar Square,2.123317242
VJAEXBJJFXCXG5QOFBJHHXETMXGPBW46WMQFMCAHG774TRTFEM3Q,Westminster Bridge,7.248431683
PY72BYSFGHX7T3GWUEIT75LZAIV6EWV7YXMEBJZEUGEKYJDDOO2Q,None,5.920393229
SGPZCA7ZYKXUB64M7N2JI56V2UTPWKRCZQLXNT4XSKUE7BFFQOYQ,The British Museum,1.566105843
DBY224LJBG3JDE7JLZRXKKZEPD632LR23WRZ7TBBP75KZ2JIB6VQ,Tower Bridge,9.563584328
5VPFYFUT55DC2JTMEAJTCTFCP6ZA3EH6CMMNKCMOTKVZ5KKIQCNQ,Lastminute.com London Eye,6.050025463
C4KYT6DQY6KHI65BK65CTDGVW2BPQTEC2BJCKCIY25GGXDKUTVRQ,None,4.304386377
JGPV6AT5TOGCRCBTGPWPGYAXKBEK53MELT4JJNVN5TJUPR554AAQ,Tower Bridge,4.849252701
QCMTLUBEXWYRZ7ONWR7SAP2JUKC4F4VH3M26EGFWU5YP332G5NPA,None,4.476295233
3VQSS6KOLMCH3SW4MGNOS2SCXFYOMAKYUUEMGBLMR47MMPJVU4KA,None,4.374555588
34MNRB732744QHIKC3ZSRK7OQ7TUONWPZ2JFFULO233A4C354YBA,Tower Bridge,10.04599166
KCYCWA4LB7XYCD7DDIW6NOIRHZZD4QIUUL4SFDRZSFE4DTCZYDGA,Palace Of Westminster,4.768093348
757E4FQDJC5DWUO6Y3WBZDIYBFWGV6AK5LRNUYEM5PUILBEIWIZA,None,2.322855711
BSLUHXKIS375LYW2GKV4ZGZ4PCW5KQYT5J36XAIARPV2ZHLTSRVA,Tower Bridge,3.264765978
